# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Sat Mar 19 14:40:26 CET 2016
# isochrones PARSEC release v1.2S + COLIBRI release PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Rosenfield et al. (2016, arXiv:1603.05283)
# Photometric system: HST/WFC3 long-pass and extremely wide filters (UVIS1, final throughputs)
# Attention: photometry includes extinction of Av=0.124
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00400	Y = 0.25600	[M/H] = -0.583	eta_R = 0.200	Age = 	1.1000e+01 yr
#	Includes interstellar extinction of Av = 0.1240 mag
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    F200LP1 F300X   F350LP  F475X   F600LP  F850LP	C/O	M_hec	period	pmode	logMdot	slope	int_IMF	stage
	0.004000	1.0414	1.0000000000	1.0000	2.6030	3.5978	1.1782	-1.737	-0.816	4.005	-1.009	-0.090	-1.927	-2.540	0.4787	0.0000	8.8	1	-12.861	0.000	3.1408040524	0
	0.004000	1.0414	1.0499999523	1.0500	2.6457	3.5978	1.1567	-1.844	-0.922	3.909	-1.116	-0.196	-2.033	-2.647	0.4787	0.0000	9.3	1	-13.357	0.000	3.1538088322	0
	0.004000	1.0414	1.1000000238	1.1000	2.6807	3.5982	1.1434	-1.932	-1.012	3.816	-1.206	-0.288	-2.123	-2.735	0.4787	0.0000	9.6	1	-13.737	0.000	3.1655414104	0
	0.004000	1.0414	1.1499999762	1.1500	2.7211	3.5980	1.1216	-2.033	-1.111	3.732	-1.305	-0.385	-2.223	-2.835	0.4787	0.0000	10.1	1	-14.005	0.000	3.1761763096	0
	0.004000	1.0414	1.2000000477	1.2000	2.7522	3.5984	1.1105	-2.110	-1.192	3.648	-1.385	-0.467	-2.302	-2.913	0.4787	0.0000	10.4	1	-14.189	0.000	3.1858570576	0
	0.004000	1.0414	1.2500000000	1.2500	2.7838	3.5986	1.0974	-2.189	-1.272	3.569	-1.465	-0.548	-2.382	-2.993	0.4787	0.0000	10.7	1	-14.316	0.000	3.1947042942	0
	0.004000	1.0414	1.2999999523	1.3000	2.8240	3.5980	1.0721	-2.290	-1.368	3.498	-1.561	-0.640	-2.480	-3.092	0.4787	0.0000	11.3	1	-14.405	0.000	3.2028071880	0
	0.004000	1.0414	1.3500000238	1.3500	2.8546	3.5981	1.0580	-2.367	-1.445	3.426	-1.638	-0.717	-2.557	-3.169	0.4787	0.0000	11.7	1	-14.471	0.000	3.2102327347	0
	0.004000	1.0414	1.3999999762	1.4000	2.8776	3.5986	1.0530	-2.424	-1.506	3.354	-1.700	-0.782	-2.617	-3.227	0.4787	0.0000	12.0	1	-14.524	0.000	3.2170591354	0
	0.004000	1.0414	1.4500000477	1.4500	2.9077	3.5984	1.0374	-2.499	-1.580	3.292	-1.773	-0.854	-2.692	-3.302	0.4787	0.0000	12.4	1	-14.567	0.000	3.2233536243	0
	0.004000	1.0414	1.5000000000	1.5000	2.9355	3.5984	1.0244	-2.569	-1.649	3.229	-1.843	-0.922	-2.761	-3.371	0.4787	0.0000	12.8	1	-14.604	0.000	3.2291738987	0
	0.004000	1.0414	1.5499999523	1.5500	2.9620	3.5984	1.0120	-2.635	-1.715	3.169	-1.909	-0.988	-2.827	-3.437	0.4787	0.0000	12.8	1	-14.638	0.000	3.2345697880	0
	0.004000	1.0414	1.6000000238	1.6000	2.9831	3.5988	1.0062	-2.688	-1.770	3.107	-1.964	-1.046	-2.882	-3.490	0.4787	0.0000	13.0	1	-14.670	0.000	3.2395837307	0
	0.004000	1.0414	1.6499999762	1.6500	3.0116	3.5985	0.9899	-2.759	-1.839	3.058	-2.033	-1.112	-2.952	-3.562	0.4787	0.0000	13.5	1	-14.698	0.000	3.2442421913	0
	0.004000	1.0414	1.7000000477	1.7000	3.0314	3.5988	0.9843	-2.809	-1.891	3.004	-2.085	-1.165	-3.003	-3.612	0.4787	0.0000	13.7	1	-14.726	0.000	3.2485761642	0
	0.004000	1.0414	1.7500000000	1.7500	3.0625	3.5982	0.9632	-2.886	-1.964	2.968	-2.158	-1.232	-3.078	-3.689	0.4787	0.0000	14.3	1	-14.752	0.000	3.2526168823	0
	0.004000	1.0414	1.7999999523	1.8000	3.0769	3.5988	0.9634	-2.922	-2.004	2.912	-2.198	-1.276	-3.117	-3.726	0.4787	0.0000	14.4	1	-14.778	0.000	3.2563917637	0
	0.004000	1.0414	1.8500000238	1.8500	3.1059	3.5982	0.9440	-2.995	-2.072	2.878	-2.266	-1.339	-3.187	-3.798	0.4787	0.0000	15.0	1	-14.802	0.000	3.2599251270	0
	0.004000	1.0414	1.8999999762	1.9000	3.1240	3.5984	0.9382	-3.040	-2.118	2.833	-2.312	-1.386	-3.234	-3.844	0.4787	0.0000	15.3	1	-14.826	0.000	3.2632381916	0
	0.004000	1.0414	1.9500000477	1.9500	3.1478	3.5980	0.9241	-3.100	-2.175	2.798	-2.369	-1.440	-3.292	-3.903	0.4787	0.0000	15.8	1	-14.848	0.000	3.2663500309	0
	0.004000	1.0414	2.0000000000	2.0000	3.1662	3.5981	0.9171	-3.145	-2.222	2.756	-2.416	-1.486	-3.338	-3.950	0.4787	0.0000	16.1	1	-14.871	0.000	3.2692775726	0
	0.004000	1.0414	2.0499999523	2.0500	3.1833	3.5982	0.9114	-3.188	-2.266	2.714	-2.460	-1.531	-3.382	-3.993	0.4787	0.0000	16.3	1	-14.893	0.000	3.2720313072	0
	0.004000	1.0414	2.0999999046	2.1000	3.2039	3.5981	0.9006	-3.240	-2.316	2.678	-2.510	-1.579	-3.433	-4.044	0.4787	0.0000	16.7	1	-14.915	0.000	3.2746226788	0
	0.004000	1.0414	2.1500000954	2.1500	3.2201	3.5982	0.8952	-3.280	-2.357	2.638	-2.551	-1.621	-3.474	-4.085	0.4787	0.0000	17.0	1	-14.936	0.000	3.2770648003	0
	0.004000	1.0414	2.2000000477	2.2000	3.2387	3.5981	0.8862	-3.327	-2.403	2.604	-2.597	-1.665	-3.521	-4.132	0.4787	0.0000	17.4	1	-14.956	0.000	3.2793695927	0
	0.004000	1.0414	2.2500000000	2.2500	3.2589	3.5978	0.8746	-3.377	-2.451	2.574	-2.646	-1.711	-3.570	-4.182	0.4787	0.0000	17.8	1	-14.975	0.000	3.2815473080	0
	0.004000	1.0414	2.2999999523	2.3000	3.2778	3.5976	0.8644	-3.425	-2.497	2.543	-2.691	-1.755	-3.617	-4.230	0.4787	0.0000	18.3	1	-14.994	0.000	3.2836077213	0
	0.004000	1.0414	2.3499999046	2.3500	3.2954	3.5975	0.8557	-3.469	-2.540	2.511	-2.735	-1.796	-3.660	-4.274	0.4787	0.0000	18.6	1	-15.013	0.000	3.2855594158	0
	0.004000	1.0414	2.4000000954	2.4000	3.3066	3.5980	0.8555	-3.496	-2.571	2.469	-2.766	-1.830	-3.690	-4.302	0.4787	0.0000	18.7	1	-15.033	0.000	3.2874104977	0
	0.004000	1.0414	2.5999999046	2.6000	3.3691	3.5977	0.8269	-3.653	-2.726	2.347	-2.920	-1.981	-3.847	-4.459	0.4787	0.0000	24.7	1	-15.101	0.000	3.2939352989	0
	0.004000	1.0414	2.7999999523	2.8000	3.4252	3.5976	0.8023	-3.793	-2.865	2.236	-3.059	-2.117	-3.987	-4.600	0.4787	0.0000	26.2	1	-15.163	0.000	3.2992820740	0
	0.004000	1.0414	3.0000000000	3.0000	3.4781	3.5974	0.7786	-3.925	-2.996	2.132	-3.190	-2.245	-4.119	-4.732	0.4787	0.0000	27.8	1	-13.516	0.000	3.3037204742	0
	0.004000	1.0414	3.2000000477	3.2000	3.5281	3.5972	0.7557	-4.050	-3.119	2.037	-3.313	-2.365	-4.244	-4.858	0.4787	0.0000	29.4	1	-13.488	0.000	3.3074507713	0
	0.004000	1.0414	3.4000000954	3.4000	3.5718	3.5972	0.7384	-4.160	-3.228	1.943	-3.423	-2.473	-4.353	-4.967	0.4787	0.0000	30.7	1	-13.461	0.000	3.3106060028	0
	0.004000	1.0414	3.5999999046	3.6000	3.6155	3.5970	0.7187	-4.269	-3.335	1.860	-3.530	-2.578	-4.462	-5.077	0.4787	0.0000	32.2	1	-13.436	0.000	3.3132953644	0
	0.004000	1.0414	3.7999999523	3.8000	3.6614	3.5965	0.6942	-4.383	-3.446	1.785	-3.641	-2.684	-4.575	-5.191	0.4787	0.0000	34.1	1	-13.413	0.000	3.3156080246	0
	0.004000	1.0414	4.0000000000	4.0000	3.7021	3.5961	0.6744	-4.485	-3.546	1.712	-3.741	-2.780	-4.676	-5.293	0.4787	0.0000	35.7	1	-13.391	0.000	3.3176128864	0
	0.004000	1.0414	4.1999998093	4.2000	3.7390	3.5960	0.6582	-4.578	-3.637	1.640	-3.832	-2.869	-4.768	-5.385	0.4787	0.0000	37.2	1	-13.369	0.000	3.3193576336	0
