#  F475Xsnr and CLEARsnr are achieved in 600 seconds; F555W and F814W in 160 seconds
#  1: mass    2 : Teff      3: F336W      4: F555W      5: logG       6: logR        7: F475Xsnr   8: F555Wsnr   9: F814Wsnr   10: CLEARsnr     11: spType
7.7060000e-01 5.9265234e+03 1.8809000e+01 5.2830000e+00 4.4640000e+00 -6.9361792e-02 8.2668600e+02 3.6878310e+02 4.8238360e+02 1.6320157e+03   G2V
7.7880000e-01 5.9703529e+03 1.8686000e+01 5.1830000e+00 4.4430000e+00 -5.6563323e-02 8.7501660e+02 3.9067690e+02 5.1089690e+02 1.7273882e+03   G2V
7.8690000e-01 6.0075860e+03 1.8571000e+01 5.0820000e+00 4.4189000e+00 -4.2266522e-02 9.2274090e+02 4.1228040e+02 5.3903790e+02 1.8215661e+03   G2V
7.9510000e-01 6.0422682e+03 1.8452000e+01 4.9750000e+00 4.3922000e+00 -2.6665418e-02 9.7485220e+02 4.3585470e+02 5.6975130e+02 1.9244030e+03   G2V
8.0310000e-01 6.0757515e+03 1.8333000e+01 4.8660000e+00 4.3637000e+00 -1.0241482e-02 1.0298919e+03 4.6073900e+02 6.0217680e+02 2.0330208e+03   G2V
8.1370000e-01 6.1136419e+03 1.8174000e+01 4.7180000e+00 4.3224000e+00 1.3255863e-02 1.1082911e+03 4.9616250e+02 6.4834330e+02 2.1877399e+03   G2V
8.2360000e-01 6.1404472e+03 1.8026000e+01 4.5750000e+00 4.2790000e+00 3.7581874e-02 1.1865993e+03 5.3152350e+02 6.9443620e+02 2.3422823e+03   G2V
8.2850000e-01 6.1503524e+03 1.7952000e+01 4.5010000e+00 4.2552000e+00 5.0769962e-02 1.2277976e+03 5.5011990e+02 7.1867910e+02 2.4235885e+03   G2V
8.3090000e-01 6.1546024e+03 1.7913000e+01 4.4630000e+00 4.2429000e+00 5.7548085e-02 1.2500809e+03 5.6017640e+02 7.3178990e+02 2.4675656e+03   G2V
8.3420000e-01 6.1588553e+03 1.7860000e+01 4.4090000e+00 4.2243000e+00 6.7708798e-02 1.2810112e+03 5.7413330e+02 7.4998630e+02 2.5286080e+03   G2V
8.3820000e-01 6.1602736e+03 1.7795000e+01 4.3420000e+00 4.1999000e+00 8.0947534e-02 1.3199883e+03 5.9171830e+02 7.7291380e+02 2.6055319e+03   G2V
