# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Sat Mar 19 14:45:28 CET 2016
# isochrones PARSEC release v1.2S + COLIBRI release PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Rosenfield et al. (2016, arXiv:1603.05283)
# Photometric system: HST/WFC3 UVIS channel, chip 2 (final throughputs)
# Attention: photometry includes extinction of Av=0.124
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00400	Y = 0.25600	[M/H] = -0.583	eta_R = 0.200	Age = 	1.1000e+01 yr
#	Includes interstellar extinction of Av = 0.1240 mag
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    F200LP2 F218W2  F225W2  F275W2  F336W2  F350LP2 F390W2  F438W2  F475W2  F555W2  F600LP2 F606W2  F625W2  F775W2  F814W2  F850LP2	C/O	M_hec	period	pmode	logMdot	slope	int_IMF	stage
	0.004000	1.0414	0.6499999762	0.6500	1.8870	3.6126	1.7663	0.053	0.875	8.543	8.689	7.624	3.792	0.671	3.060	2.432	1.701	1.095	-0.196	0.622	0.353	-0.330	-0.444	-0.756	0.4787	0.0000	3.0	1	-12.677	0.000	2.9923686981	0
	0.004000	1.0414	0.6999999881	0.7000	1.9476	3.6142	1.7444	-0.099	0.714	8.369	8.506	7.383	3.600	0.509	2.883	2.259	1.529	0.927	-0.354	0.458	0.191	-0.487	-0.600	-0.909	0.4787	0.0000	3.1	1	-12.297	0.000	3.0225379467	0
	0.004000	1.0414	0.7500000000	0.7500	2.3691	3.5953	1.2773	-1.153	-0.209	7.670	7.834	7.534	3.339	-0.417	2.307	1.575	0.756	0.089	-1.331	-0.432	-0.721	-1.472	-1.599	-1.945	0.4787	0.0000	7.2	1	-11.977	0.000	3.0487992764	0
	0.004000	1.0414	0.8000000119	0.8000	2.4194	3.5962	1.2584	-1.278	-0.342	7.534	7.704	7.397	3.196	-0.549	2.169	1.437	0.617	-0.048	-1.461	-0.567	-0.856	-1.602	-1.728	-2.072	0.4787	0.0000	7.5	1	-11.673	0.000	3.0718705654	0
	0.004000	1.0414	0.8500000238	0.8500	2.4676	3.5969	1.2393	-1.399	-0.467	7.405	7.580	7.269	3.064	-0.675	2.039	1.307	0.486	-0.178	-1.585	-0.696	-0.983	-1.725	-1.851	-2.193	0.4787	0.0000	7.6	1	-11.569	0.000	3.0922229290	0
	0.004000	1.0414	0.8999999762	0.9000	2.5177	3.5971	1.2148	-1.524	-0.594	7.281	7.455	7.151	2.945	-0.802	1.917	1.183	0.359	-0.306	-1.711	-0.823	-1.111	-1.852	-1.977	-2.319	0.4787	0.0000	8.0	1	-11.801	0.000	3.1102609634	0
	0.004000	1.0414	0.9499999881	0.9500	2.5675	3.5970	1.1881	-1.649	-0.717	7.162	7.334	7.042	2.838	-0.925	1.802	1.064	0.237	-0.429	-1.836	-0.946	-1.234	-1.976	-2.101	-2.443	0.4787	0.0000	8.6	1	-12.297	0.000	3.1263561249	0
	0.004000	1.0414	1.0000000000	1.0000	2.6030	3.5978	1.1782	-1.737	-0.813	7.061	7.240	6.938	2.728	-1.020	1.698	0.962	0.134	-0.529	-1.929	-1.045	-1.332	-2.069	-2.193	-2.533	0.4787	0.0000	8.8	1	-12.861	0.000	3.1408040524	0
	0.004000	1.0414	1.0499999523	1.0500	2.6457	3.5978	1.1567	-1.844	-0.920	6.957	7.135	6.841	2.632	-1.127	1.597	0.859	0.029	-0.636	-2.036	-1.152	-1.438	-2.175	-2.300	-2.640	0.4787	0.0000	9.3	1	-13.357	0.000	3.1538088322	0
	0.004000	1.0414	1.1000000238	1.1000	2.6807	3.5982	1.1434	-1.932	-1.010	6.866	7.046	6.752	2.540	-1.217	1.506	0.767	-0.064	-0.728	-2.125	-1.243	-1.530	-2.265	-2.389	-2.728	0.4787	0.0000	9.6	1	-13.737	0.000	3.1655414104	0
